,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,PROFILE
28,Stormy Muto,58283940,7,39,29,2,4,0,2,5,0,84,74,,beginner_front_end
81,Carlos Ferro,1357218,32,0,44,2,0,0,0,5,0,67,45,,beginner_front_end
89,Robby Constantini,63212105,45,0,59,0,5,4,0,4,1,,54,47,advanced_front_end
138,Paul Mckenny,23239851,36,19,28,0,5,7,0,5,3,,71,89,beginner_data_science
143,Jean Webb,72234478,61,78,38,6,11,0,4,3,0,66,85,,advanced_front_end
169,Emily Rushton,9116044,24,69,68,3,7,0,4,5,0,66,75,,advanced_front_end
179,Rosaria Copeland,59316838,54,52,12,4,3,0,5,9,0,87,51,,beginner_backend
223,Curtis Rocha,49603646,0,42,13,0,5,5,0,5,3,,74,67,beginner_backend
346,Billy Phagan,34468193,40,20,34,0,5,2,0,7,0,,53,65,beginner_front_end
401,Lynn Diaz,29372594,27,117,2,0,4,0,0,7,4,,40,3,beginner_front_end
439,Danny Wilkinson,69211796,51,38,27,0,4,0,0,5,2,,38,41,beginner_front_end
511,Marc Ferris,34028847,39,52,34,2,4,4,1,5,5,69,65,73,beginner_backend
512,Monique Vaughn,87147288,28,44,16,3,2,5,0,4,4,41,40,76,beginner_data_science
513,Laurie Ropers,28065441,74,36,41,2,5,2,3,4,2,52,77,66,advanced_front_end
514,Roberto Russell,13095342,69,40,18,4,3,5,4,7,6,40,82,78,advanced_data_science
515,Laura Tofil,81228144,46,102,44,7,9,3,5,3,3,69,94,50,advanced_front_end
516,Angela Boner,72893547,54,71,47,2,4,3,2,5,5,70,88,86,beginner_backend
517,Ursula Kuehnert,34472788,68,54,29,4,8,5,6,4,3,64,69,50,advanced_front_end
518,John Shear,41667523,18,48,10,2,4,5,3,7,0,82,75,57,beginner_backend
519,John Tharp,83004498,47,46,53,3,5,3,4,3,1,66,60,51,beginner_front_end
520,Alberto Cruz,29764891,65,27,27,1,7,5,4,6,4,63,55,62,beginner_front_end
521,Lance Rochester,19728116,49,44,85,2,3,5,6,4,2,45,89,61,beginner_data_science
522,David Jared,36738892,34,68,43,7,3,6,3,6,0,51,58,63,advanced_data_science
523,Marcus Pettit,46839787,36,0,63,2,0,2,0,7,5,36,72,65,advanced_front_end
524,Mary Armand,55261852,0,13,13,2,5,2,3,3,5,84,60,61,beginner_backend
525,Concepcion Vorhies,5144540,37,57,28,5,3,5,4,1,4,80,70,70,advanced_backend
526,Charles Redman,21092358,49,51,31,5,2,5,3,7,3,59,65,72,beginner_backend
527,Juan Mitchell,84443850,19,43,25,2,3,5,2,3,6,70,83,61,beginner_backend
528,Joan Laird,99006866,85,8,30,7,4,7,1,3,2,39,84,71,advanced_data_science
529,Jamel Stewart,40005419,69,82,23,5,3,2,3,6,1,70,73,61,beginner_backend
530,Cheryl Minor,57558318,57,68,7,8,2,8,2,4,2,67,63,83,advanced_data_science
531,John Bell,78525239,16,60,54,4,2,4,7,6,7,60,70,79,advanced_backend
532,Stephen Bruno,40816958,76,0,24,5,6,5,3,3,3,63,55,65,beginner_front_end
533,Edward Lilley,10893158,15,60,71,3,6,1,2,5,1,72,69,57,advanced_front_end
534,Sharon Mosier,34313624,42,42,76,6,3,4,6,1,4,75,59,45,beginner_data_science
535,Albert Taft,17119385,90,31,73,4,6,8,3,7,0,47,40,62,beginner_front_end
536,Terrence Nieves,1415906,41,25,26,2,5,1,2,4,4,41,80,72,advanced_front_end
537,Ronald Edwards,50796625,29,60,23,3,5,3,3,5,1,89,80,69,beginner_backend
538,Brian Hensley,47525720,13,64,0,6,3,5,0,4,1,68,50,65,advanced_data_science
539,Jimmy Whicker,90085135,48,90,41,5,2,5,1,4,3,83,41,95,advanced_data_science
540,Robert Edwards,71437699,32,64,50,4,0,8,4,0,10,100,,76,advanced_backend
541,Melanie Pulliam,10811603,12,25,41,6,5,9,2,2,3,89,90,81,beginner_data_science
542,Joyce Griffin,32166875,15,54,36,5,3,7,5,5,4,63,75,62,advanced_backend
543,Don Tripp,20686952,47,46,96,4,1,4,1,0,5,50,68,67,beginner_data_science
544,Joe Martin,25603651,20,37,45,4,6,3,6,7,8,86,59,59,beginner_front_end
545,Margaret Violet,25189657,44,36,37,4,5,3,3,5,2,70,64,59,beginner_front_end
546,Delores Morgan,69945656,17,39,14,5,3,5,6,4,5,68,80,61,advanced_backend
547,Theresa Tello,51487356,57,3,53,4,3,7,3,6,2,65,51,78,beginner_front_end
548,Michelle Staggs,6679474,92,64,70,2,4,4,2,7,2,58,88,92,beginner_data_science
549,William Harlow,92892886,29,79,39,5,4,6,5,1,3,67,60,67,advanced_backend
550,Harland Gabe,44923822,82,70,21,8,11,2,7,1,7,66,79,42,beginner_front_end
551,Shirley Southwick,33038016,22,38,50,4,4,3,1,6,4,51,91,53,advanced_front_end
552,Martin Erickson,12800691,62,62,14,5,8,4,5,5,6,75,70,52,beginner_front_end
553,Patricia Harris,63409227,58,55,42,1,8,3,6,2,0,95,54,74,advanced_front_end
554,Maria Wittner,7927168,50,42,91,4,4,8,3,3,1,56,69,56,beginner_data_science
555,Lucille Munsey,68015947,22,29,42,1,3,6,5,4,3,68,77,67,beginner_data_science
556,Roger Palmer,38626155,43,60,27,7,3,4,3,3,0,74,60,82,advanced_data_science
557,Anita Silkenson,18841597,4,75,52,3,3,4,6,1,1,57,74,80,advanced_backend
558,Toni Sawyer,64613675,65,39,47,4,5,4,2,3,2,67,70,52,advanced_front_end
559,Rosemarie Turner,14022506,30,0,23,4,4,2,5,7,4,85,88,81,beginner_front_end
560,Kelsey Wegner,58779700,52,73,16,4,2,0,4,5,2,67,61,68,beginner_backend
561,Patricia Schechter,38431395,45,57,38,6,8,2,3,9,6,77,63,49,beginner_front_end
562,Patricia Mcrae,197787,72,26,62,2,3,6,3,4,6,40,62,67,advanced_data_science
563,Kristine Pugh,9121922,55,80,42,1,4,4,7,11,5,50,64,57,advanced_data_science
564,Helen Keeney,64043525,44,90,0,4,1,3,3,0,6,65,77,58,beginner_backend
565,Randy Ballintyn,53188901,54,66,44,5,3,4,3,2,2,73,25,76,advanced_data_science
566,Daniel Townsend,3516387,29,69,63,2,5,5,4,3,5,44,67,72,advanced_data_science
567,Leeanne Jordan,34109584,38,28,27,1,4,,3,4,5,68,73,73,advanced_front_end
568,Bonnie Brinkman,83795319,52,35,37,2,2,3,5,5,8,68,96,64,advanced_backend
569,Bonnie Medina,66174437,27,43,53,0,6,4,2,3,1,49,53,36,advanced_front_end
570,Donna Skinner,94558625,85,24,0,1,6,1,0,0,1,47,52,42,beginner_front_end
571,Peter Morales,57302076,44,50,41,4,1,1,5,5,3,59,67,72,beginner_backend
572,Dale Swanson,46214453,27,29,45,5,3,6,0,1,2,68,69,83,advanced_data_science
573,Louis Carpenter,38070920,59,44,23,7,2,5,2,5,2,66,36,63,advanced_data_science
574,Joy Kato,77874552,46,38,71,7,3,6,5,1,2,53,78,62,beginner_data_science
575,Michelle Mundell,13005478,70,40,50,4,5,3,6,8,3,41,52,50,advanced_data_science
576,Patricia Jones,47901337,40,39,63,4,3,6,0,1,1,65,30,54,advanced_data_science
577,Larry Pierce,26603202,17,60,58,1,7,4,6,5,2,90,82,67,advanced_front_end
578,Andrea Gardner,2777983,37,55,37,2,0,3,9,1,7,84,67,80,advanced_backend
579,Patrick Peck,64176692,34,24,50,3,4,4,3,3,2,41,65,71,beginner_data_science
580,Michele Arbuckle,92673264,40,61,10,5,6,3,3,8,7,91,46,42,beginner_front_end
581,Marsha Darrin,57925743,40,80,23,3,9,6,6,3,0,76,66,35,advanced_front_end
582,Robert Tedder,92942356,29,13,57,3,5,1,2,11,0,83,60,81,beginner_backend
583,Amanda Dekany,97855167,9,78,33,3,5,1,6,7,5,57,90,91,advanced_front_end
584,Jesse Tharpe,73092656,59,2,28,1,5,2,2,2,1,58,62,63,beginner_front_end
585,Melissa Herr,79909940,44,82,0,3,0,4,3,1,7,56,88,74,beginner_backend
586,Dewey Bradshaw,96257474,73,58,31,2,1,6,2,4,7,68,87,54,advanced_backend
587,Rita Byrne,87676286,48,80,29,5,5,3,0,9,4,81,35,35,beginner_front_end
588,Raymond Larsen,85502620,4,26,17,9,7,5,3,3,3,69,72,86,advanced_backend
589,Jimmy Brown,21610989,33,69,5,5,1,4,0,5,2,64,50,55,beginner_backend
590,Shannon Crawford,3776377,39,35,25,6,4,6,1,6,2,56,81,72,advanced_data_science
591,Albert Marquez,2010402,0,80,58,3,1,5,8,0,4,74,63,78,advanced_backend
592,Iris Smith,71656034,44,57,44,3,3,3,4,6,1,67,57,76,beginner_backend
593,Regina Silva,45001689,63,20,0,5,3,4,7,5,7,67,70,49,advanced_backend
594,Clark Neal,21425001,53,19,45,3,4,2,2,6,3,58,79,67,advanced_front_end
595,Paula Rhodes,15873451,41,65,48,4,6,3,5,6,3,55,82,61,advanced_front_end
596,Helen Fisher,76411012,46,52,31,0,0,3,6,5,5,56,80,72,advanced_backend
597,Allan Adkins,54534858,40,34,11,3,4,3,3,7,7,84,46,50,beginner_front_end
598,William Patterson,79155215,54,70,28,5,2,7,1,8,4,64,66,74,advanced_data_science
599,Patrick Harris,26868394,37,26,26,0,4,2,5,7,2,63,64,69,beginner_data_science
600,Randolph Weller,46052685,6,4,35,2,3,5,1,2,4,69,60,75,beginner_data_science
601,Robert Burch,58417714,45,28,22,3,6,4,3,5,2,48,70,54,advanced_front_end
602,Mickey Munoz,46266248,32,19,52,3,4,0,5,4,4,69,62,56,beginner_front_end
603,Rebecca Fala,66329441,36,56,33,5,4,4,4,4,3,58,48,56,beginner_data_science
604,Gloria Rubin,20411432,39,67,41,3,0,3,3,5,2,57,90,78,beginner_backend
605,Jack Brooks,25206001,39,53,38,5,2,6,2,0,2,60,28,69,advanced_data_science
606,Sonja Vargas,88275225,15,38,13,2,7,4,3,5,3,55,80,56,advanced_front_end
607,Lucille Isbell,89405689,52,42,4,6,5,4,3,4,5,75,72,57,beginner_front_end
608,Angela Borum,2309384,3,50,22,1,9,3,4,4,3,51,80,51,advanced_front_end
609,Tracey Destefano,62821707,11,30,54,4,0,4,1,0,5,54,,68,beginner_data_science
610,Caroline Solanki,15649184,21,38,38,2,5,5,5,4,2,91,88,67,beginner_backend
611,Jamison Peters,86317357,21,,32,0,2,3,0,8,0,,64,69,beginner_backend
612,Evelyn Bessemer,11266040,36,0,42,4,1,2,6,5,3,72,64,71,beginner_front_end
613,David Thompson,88729016,41,44,24,4,3,4,1,7,4,83,41,53,beginner_front_end
614,Michael Baker,48562098,34,33,61,6,4,4,2,1,5,73,84,76,beginner_data_science
615,Mary Jackson,87168885,51,83,11,3,2,5,7,0,5,81,88,57,beginner_backend
616,Samantha Herrera,15756896,57,15,4,1,5,3,6,7,2,88,89,91,beginner_data_science
617,Elizabeth Johnson,80512227,25,33,79,4,1,3,3,2,4,44,50,54,beginner_data_science
618,Eric Martinez,51794738,36,51,23,5,2,4,11,2,5,66,52,64,advanced_backend
619,Laura Burger,10974300,61,52,39,2,1,3,4,6,4,59,76,79,advanced_backend
620,Inez Nobel,8544566,0,18,52,4,3,7,0,0,4,41,75,79,beginner_data_science
621,Rita Driscoll,17255781,11,40,41,3,6,5,2,7,2,66,63,66,beginner_backend
622,Gregory Diamond,86725848,0,22,55,0,6,4,0,5,4,,77,71,beginner_backend
623,Flossie Boyd,49984108,0,15,30,0,8,7,1,7,0,100,65,57,beginner_backend
624,Vincent Cahall,78851244,52,0,49,3,4,5,1,5,3,62,61,51,advanced_front_end
625,Todd Moody,36287154,30,54,55,3,4,0,3,6,4,56,73,87,advanced_front_end
626,Robert Garcia,36842534,45,13,9,4,1,4,0,7,1,77,51,63,beginner_front_end
627,Anna Rivera,74341221,65,74,0,8,3,5,9,7,3,48,68,77,advanced_data_science
628,Frances Jones,90527486,50,8,19,0,5,5,2,3,3,43,72,48,advanced_front_end
629,James White,48309070,19,78,50,4,2,4,4,2,0,61,67,88,advanced_backend
630,Manuel Robinson,39996940,5,54,68,3,5,0,2,6,3,55,76,84,advanced_front_end
631,Racheal Quinn,81472792,29,76,46,4,6,3,6,5,3,75,70,71,advanced_front_end
632,Nicole Labianca,45317603,22,21,34,0,0,4,7,4,3,87,85,74,beginner_backend
633,Edna Madigan,35324341,0,12,48,4,7,3,4,8,0,91,54,66,beginner_backend
634,Christopher Moore,14472354,32,57,68,3,6,2,4,5,2,65,70,59,advanced_front_end
635,Samuel Necaise,16564052,0,1,31,0,7,8,3,4,4,97,87,70,beginner_backend
636,Sonya Corlew,34804549,34,20,29,3,2,2,4,3,5,83,85,79,beginner_data_science
637,Pete Schuster,86985969,63,53,17,7,3,4,3,6,1,65,34,59,advanced_data_science
638,Janet Baber,33257209,49,65,20,4,6,4,2,7,5,88,52,46,beginner_front_end
639,Ramon Whiting,41730867,23,0,30,0,4,2,4,6,5,61,79,90,advanced_front_end
640,Christie Duckey,79522169,70,35,20,10,2,6,4,3,0,55,58,72,advanced_data_science
641,Pat Smith,60517210,56,40,50,4,5,5,3,5,3,61,81,45,advanced_front_end
642,Harold Allen,22302595,76,14,45,2,6,5,5,4,2,50,55,72,beginner_front_end
643,Walter Hastie,29811948,40,3,52,4,4,5,5,7,2,72,80,83,beginner_front_end
644,Carmen Clanton,52710878,0,92,57,5,3,4,4,5,5,74,74,67,advanced_front_end
645,Charles Swindle,1539545,32,69,47,2,5,4,6,5,2,80,58,79,advanced_front_end
646,Sharon Carter,63214368,30,74,40,5,5,7,2,5,2,54,81,63,advanced_data_science
647,Jasper Yan,63875515,0,91,77,4,1,5,5,8,7,63,55,66,advanced_front_end
648,Barbara Langham,51438625,2,58,21,5,6,8,6,1,10,68,78,54,advanced_backend
649,William Garcia,60371163,20,14,41,1,4,9,4,5,2,75,89,74,beginner_data_science
650,William Jarvis,6467007,68,58,16,5,4,6,6,4,6,61,60,47,advanced_backend
651,Edith Wright,52060012,12,101,62,5,5,2,6,7,4,72,84,74,advanced_front_end
